40,24,80,26,80,24,18,40,14,50,80,30,26,30,38,14,36,4,80,52
80,80,10,80,80,32,80,80,30,80,20,80,36,80,18,80,42,80,10,28
20,30,80,12,24,12,80,32,32,2,50,80,22,30,24,10,6,80,28,24
24,14,38,38,8,10,36,32,14,40,34,80,18,2,10,18,36,34,36,10

40,8,16,26,36,20,50,34,36,56,32,36,14,30,28,38,36,34,44,32

32,80,28,44,10,34,40,44,24,46,28,12,40,2,80,80,22,18,20,80
20,22,28,20,12,80,80,24,18,40,80,28,22,16,6,40,54,34,34,24

80,26,18,36,36,34,80,44,40,22,34,42,28,26,80,16,30,40,38,18
16,44,80,34,24,18,18,42,30,34,80,22,14,4,28,26,12,24,34,14

12,30,80,14,44,26,16,36,20,46,38,10,32,16,26,80,6,28,24,32
30,46,40,26,24,28,12,18,6,2,32,16,32,40,2,24,8,12,20,80

42,30,30,40,18,6,22,10,6,30,22,28,38,42,38,6,28,36,22,80
28,32,42,80,6,28,34,38,48,28,80,10,14,44,46,28,28,48,10,4


